0,477,307,299,648,4,876,395,589,432,473,427,431,814,768,296,666,864,525,842
1,785,498,264,587,463,127,516,839,779,2,387,211,386,331,654,343,418,762,267
2,498,127,516,386,387,264,779,759,150,267,377,382,467,211,458,343,523,418,785
3,457,263,462,237,310,74,744,675,748,73,539,878,397,826,635,366,35,521,14
4,431,768,432,108,864,296,898,344,513,729,601,462,299,48,559,484,75,226,306
5,561,329,548,669,831,214,591,705,687,117,347,442,358,101,238,780,122,475,727
6,614,165,142,869,274,675,494,226,366,193,372,108,889,454,517,748,404,74,290
7,338,781,799,445,479,871,234,331,223,776,381,455,725,796,269,33,590,62,711
8,295,307,606,712,495,402,347,570,803,682,580,526,754,530,160,527,854,318,697
9,743,381,445,13,799,106,745,195,213,520,440,269,223,455,33,776,673,756,76
10,823,867,770,469,145,763,827,899,320,544,495,356,349,263,754,287,228,75,492
11,82,508,833,179,687,237,403,885,210,410,181,610,646,96,37,438,870,537,515
12,790,538,330,810,878,846,683,344,346,883,874,547,326,887,145,889,336,733,581
13,528,301,213,470,201,106,381,435,467,328,627,882,217,195,801,418,774,277,382
14,494,385,17,96,748,660,237,744,35,742,675,344,646,874,619,90,678,693,165
15,51,661,771,879,68,657,48,660,752,401,693,125,816,650,876,434,96,35,747
16,344,874,742,17,748,357,385,45,165,223,494,155,263,619,843,99,757,846,464
17,344,494,14,742,619,357,874,16,748,534,20,223,90,18,375,485,71,675,96
18,614,481,454,155,234,223,17,404,71,341,484,619,65,136,675,344,385,745,189
19,271,112,497,151,243,601,232,865,876,401,597,383,78,125,165,194,305,608,689
20,464,344,602,45,806,744,874,731,149,870,99,410,17,357,255,469,82,398,403
21,761,22,166,406,92,403,37,438,664,892,556,657,551,669,873,329,808,511,813
22,417,166,698,21,117,403,11,37,727,181,398,82,66,840,808,556,257,355,438
23,151,316,865,816,612,125,348,56,655,360,182,693,661,48,546,305,778,286,270
24,209,283,829,50,514,72,44,80,607,42,172,604,564,39,253,86,128,248,735
25,312,46,370,94,294,418,300,239,775,433,839,486,576,211,272,540,343,421,334
26,714,484,841,628,788,226,62,76,4,327,764,230,342,234,144,494,454,366,373
27,85,395,567,864,278,284,477,716,519,439,208,224,63,824,114,601,787,773,141
28,233,237,11,508,687,14,73,521,878,103,748,870,678,326,742,874,501,660,344
29,167,872,546,159,348,183,604,111,575,489,109,411,123,703,655,286,607,650,679
30,745,234,440,520,62,223,455,743,341,659,628,889,890,454,841,484,269,281,404
31,669,877,591,238,634,105,633,158,561,54,531,667,840,648,186,551,254,831,420
32,439,204,477,780,318,224,559,457,581,99,20,221,48,108,179,369,716,754,284
33,409,277,479,776,445,781,177,642,381,799,886,213,659,882,751,201,7,528,584
34,376,72,205,140,44,461,552,21,98,831,737,665,761,808,813,308,335,451,406
35,660,878,757,165,494,874,826,173,731,385,647,675,326,748,341,344,401,369,678
36,57,98,359,209,253,319,690,128,426,535,771,657,15,661,724,72,735,210,632
37,410,761,727,11,406,837,894,403,515,885,391,398,760,663,657,21,83,317,181
38,572,456,308,688,629,104,424,589,860,592,784,190,413,154,640,275,665,842,265
39,663,653,128,832,604,209,884,253,724,72,37,42,319,583,551,585,657,760,296
40,780,681,367,664,524,873,831,521,507,426,477,67,101,99,244,126,179,304,427
41,680,831,875,617,256,507,87,567,126,557,490,877,413,780,284,873,208,369,813
42,348,514,585,489,253,426,604,96,879,209,128,337,210,535,829,164,132,778,657
43,637,800,578,31,495,54,22,137,899,355,143,55,698,548,730,691,582,621,417
44,283,72,98,209,172,376,817,737,490,552,461,413,632,680,262,24,260,564,859
45,344,99,469,108,748,165,602,898,102,75,20,870,326,874,464,481,876,431,619
46,25,227,191,312,418,300,370,217,389,124,839,576,331,433,294,343,239,94,470
47,495,302,887,685,815,349,295,228,496,384,621,399,823,899,320,393,293,852,577
48,251,661,816,208,426,432,125,232,15,427,716,601,434,729,99,296,879,284,567
49,786,861,881,249,603,818,607,283,279,830,209,97,592,735,880,772,546,609,44
50,405,248,283,56,553,24,623,735,337,279,715,829,253,607,661,219,42,212,208
51,15,747,771,661,48,487,251,208,72,413,174,408,125,879,248,657,414,551,296
52,99,314,507,477,284,369,431,208,647,613,67,702,462,410,439,398,482,197,525
53,768,85,849,278,887,484,346,299,580,75,864,466,276,601,302,145,697,547,517
54,163,530,332,780,329,255,740,831,438,347,803,581,647,321,524,67,521,687,11
55,149,233,501,687,698,691,705,11,521,54,214,417,28,637,163,355,66,740,438
56,50,560,553,248,405,865,283,271,661,829,715,253,771,151,824,208,112,348,778
57,36,657,690,98,87,564,319,253,684,209,80,680,410,604,359,535,181,446,551
58,653,140,724,72,128,376,443,665,126,832,246,86,860,216,552,407,565,172,551
59,185,549,704,701,325,241,148,428,242,247,225,293,676,543,899,896,595,289,516
60,277,281,445,765,79,474,274,333,372,455,247,392,711,893,796,169,708,651,234
61,304,773,687,740,369,713,702,521,261,733,179,237,401,114,439,646,153,675,339
62,234,745,30,841,223,756,659,743,76,269,454,341,628,455,844,327,323,614,445
63,771,662,284,224,296,672,171,67,27,413,477,431,556,525,408,426,567,72,314
64,484,93,71,534,614,494,729,341,769,675,481,290,234,276,65,625,226,339,660
65,99,534,114,68,878,494,401,232,179,675,35,146,67,344,660,748,879,96,165
66,82,11,508,20,344,744,698,885,870,438,237,417,794,678,45,255,357,385,96
67,68,314,99,284,647,780,524,171,681,120,662,367,426,232,876,431,52,93,731
68,67,270,816,197,99,524,96,426,646,879,120,314,369,65,179,15,410,408,401
69,816,657,125,604,879,612,369,447,270,489,197,446,613,741,757,575,181,400,96
70,225,378,676,711,639,110,281,545,496,620,320,336,228,701,763,719,323,230,638
71,494,481,675,341,90,136,234,375,64,95,534,619,290,614,889,700,846,17,18
72,443,753,737,552,413,44,875,490,376,487,128,831,98,140,126,115,86,551,817
73,193,397,675,878,660,3,538,263,274,372,165,326,35,237,103,341,614,635,310
74,462,675,494,99,748,876,146,432,310,103,427,179,232,733,865,273,165,369,816
75,580,854,754,145,299,534,484,898,45,466,876,559,682,768,746,647,527,788,344
76,590,520,890,659,628,502,269,234,743,62,841,756,327,223,844,673,30,182,725
77,376,696,407,335,566,297,115,92,34,690,699,892,98,632,505,322,51,747,717
78,234,675,136,454,341,783,342,91,838,764,484,614,611,202,788,844,194,889,182
79,372,445,765,274,474,796,404,281,60,468,142,614,234,30,455,454,323,809,745
80,209,24,551,44,461,376,490,319,98,72,604,128,249,632,283,684,57,657,690
81,757,35,117,738,703,660,804,181,197,657,508,678,675,3,218,310,806,748,744
82,11,66,508,96,403,537,417,68,398,197,698,314,870,20,255,524,678,117,120
83,181,515,117,398,410,87,806,571,186,703,858,403,489,262,524,37,617,646,657
84,11,855,181,153,14,237,703,660,96,604,693,210,411,291,564,358,508,125,537
85,93,567,617,876,278,601,647,27,299,53,434,35,477,114,146,790,346,768,773
86,443,115,72,875,753,832,461,552,860,737,376,414,724,551,140,592,413,51,653
87,83,617,41,804,490,358,680,117,657,181,660,186,442,524,802,760,551,306,731
88,432,661,601,273,15,51,309,146,650,574,689,401,27,86,767,85,862,531,91
89,109,411,235,29,546,159,728,183,167,693,84,14,42,575,657,462,96,310,489
90,223,375,485,625,234,344,71,874,614,336,494,743,502,844,742,638,17,14,136
91,660,883,35,675,78,341,165,346,876,846,273,729,290,93,757,889,494,790,484
92,885,438,406,297,873,21,761,837,696,37,214,690,664,535,426,72,329,322,98
93,114,85,771,729,129,232,67,484,346,64,752,278,165,194,431,284,778,567,65
94,312,370,294,239,211,272,615,300,25,576,433,343,540,486,775,418,839,421,467
95,234,846,659,743,182,889,445,494,71,844,76,675,890,756,30,62,745,142,327
96,426,778,879,68,210,14,752,585,125,816,197,237,489,82,410,646,270,494,317
